Category Avg CPY,TR Ratio,FCR,RCR
4.0723,1.718930334,7.66546346,1.061547273
2.9613,0.112563176,7.1484,0.053790626
2.1784,1.836210062,4.051355556,1.047867328
2.623466667,2.541166904,7.07400759,1.085828012
3.528844444,0.47229814,11.73366187,0.171469246
2.822566667,0.708574938,3.998229953,0.529596709
2.9613,0.787942233,6.901591304,0.388420643
5.137416667,1.427435968,13.47612854,0.663126392
4.4855,0.59450823,7.704504808,0.402567661
4.522413333,2.284915723,10.99534808,1.12900049
2.881316667,0.347063553,7.472268657,0.155141984
2.9613,0.337689528,8.605072289,0.136685049
2.588766667,1.673898768,6.286158065,0.78298586
4.0723,2.783030065,8.387806924,1.585268933
3.307133333,0.302376681,3.979860465,0.265791719
1.730383333,0.770542173,10.26420513,0.155203517
8.966066667,3.569012053,11.30478968,3.407737204
2.035066667,0.163794798,9.532965517,0.041516023
4.143533333,0.402233199,9.022324675,0.218244879
8.966066667,0.66918976,9.240659854,0.768793369
3.095483333,0.646102655,6.476504425,0.352074186
4.4855,1.263329989,11.29030909,0.604169302
4.143533333,0.241339919,8.676787234,0.135663292
3.023666667,0.220482857,8.932648148,0.088092772
3.146516667,4.025615628,6.623921033,2.186212112
4.769333333,3.145093654,11.47762789,1.575101743
4.0723,3.683422145,5.737443118,2.933830911
5.4269,0.737069045,8.177440415,0.572449037
2.776516667,0.840381533,7.204513369,0.373932773
3.9108,1.448978896,5.686833703,1.116830212
4.0723,0.818538254,7.586270419,0.510206621
2.012783333,1.490473391,3.62190678,0.860261034
3.367633333,0.593888883,5.846628676,0.384862515
8.966066667,4.498442275,12.14029902,4.020326604
3.2142,0.311119408,10.90882258,0.110057527
4.83335,2.827576457,8.447368455,1.899488703
3.7186,0.35855788,8.359772727,0.187065842
4.2789,2.025442676,7.628523191,1.319978119
4.769333333,1.817165222,8.985438007,1.13910085
4.0723,0.982245905,7.032995842,0.654857758
